time_s,phase,A7_x,A7_y,A7_z,min_obstacle_h,min_joint_limit_h,min_all_h,active_obstacle_cbfs,joint_tracking_error,qp_max_violation,qp_iterations,qp_time_us,A1_joint,A2_joint,A3_joint,A4_joint,A5_joint,A6_joint,A7_joint
0.17500000000000002,2/3 raise_arm_pose,0.4116419235481815,-0.34240217567549025,0.6140836718231547,0.10236743375283233,-0.009371505837299348,-0.008866987852551269,0,0.0010813879746863306,0.18957347547512865,0,19.1,-0.018743011674598697,1.5,0.022491614009518438,-0.009371505837299348,0.0,0.0,0.0
0.18,2/3 raise_arm_pose,0.4122553241992861,-0.3425446436326979,0.6141077239370409,0.10202651319648112,-0.009889504833358893,-0.009371505837299348,0,0.0010725014405084843,0.19731485758490244,0,18.5,-0.019779009666717785,1.5,0.023734811600061346,-0.009889504833358893,0.0,0.0,0.0
0.185,2/3 raise_arm_pose,0.4128844594379568,-0.3426906701495227,0.6141331304058377,0.10167708071103845,-0.010420513005334002,-0.009889504833358893,0,0.0011062881761854531,0.20509668272861067,0,17.4,-0.020841026010668003,1.5,0.025009231212801606,-0.010420513005334002,0.0,0.0,0.0
0.19,2/3 raise_arm_pose,0.4135288128242495,-0.3428401278108884,0.6141599253962204,0.1013194403395378,-0.01096407503206763,-0.010420513005334002,0,0.0011812546172723236,0.21291753540006564,0,17.6,-0.02192815006413526,1.5,0.026313780076962313,-0.01096407503206763,0.0,0.0,0.0
0.195,2/3 raise_arm_pose,0.41418788607649437,-0.3429928935094927,0.6141881426868844,0.10095388565981286,-0.01151975152864323,-0.01096407503206763,0,0.0012959594740797526,0.2207760496357961,0,14.7,-0.02303950305728646,1.5,0.027647403668743752,-0.01151975152864323,0.0,0.0,0.0
0.2,2/3 raise_arm_pose,0.41486119839581337,-0.34314884829360637,0.6142178156086769,0.1005807001498579,-0.01208711848861633,-0.01151975152864323,0,0.001449011902057518,0.22867090728105255,0,16.2,-0.02417423697723266,1.5,0.029009084372679194,-0.01208711848861633,0.0,0.0,0.0
0.20500000000000002,2/3 raise_arm_pose,0.41555123882084466,-0.3433085604493163,0.6142491128413672,0.10019852262819548,-0.012668252984066776,-0.01208711848861633,0,0.0013699666555147254,0.23709808397625237,0,14.0,-0.02533650596813355,1.5,0.030403807161760263,-0.012668252984066776,0.0,0.0,0.0
0.21,2/3 raise_arm_pose,0.4162574613136291,-0.3434718946164543,0.6142820737696283,0.09980767549133507,-0.013262673151252858,-0.012668252984066776,0,0.0013345016525520988,0.24556656327788423,0,15.0,-0.026525346302505717,1.5,0.03183041556300686,-0.013262673151252858,0.0,0.0,0.0
0.215,2/3 raise_arm_pose,0.41697933899293627,-0.3436387199794296,0.6143167373122391,0.09940847007504966,-0.01386991399166383,-0.013262673151252858,0,0.0013410915846443162,0.25407489959472307,0,15.2,-0.02773982798332766,1.5,0.03328779357999319,-0.01386991399166383,0.0,0.0,0.0
0.22,2/3 raise_arm_pose,0.41771636341918794,-0.34380891010665854,0.614353141856655,0.0990012070407772,-0.014489526781736822,-0.01386991399166383,0,0.0013882645290644751,0.2626216979312365,0,14.7,-0.028979053563473644,1.5,0.03477486427616837,-0.014489526781736822,0.0,0.0,0.0
0.225,2/3 raise_arm_pose,0.41846804390817366,-0.34398234279586193,0.6143913252025808,0.09858617674863246,-0.015121078503233661,-0.014489526781736822,0,0.0014746000803810887,0.27120561211673605,0,14.7,-0.030242157006467322,1.5,0.03629058840776078,-0.015121078503233661,0.0,0.0,0.0
